"CLNR";"visit";"species"
302;"K";"Hypocenomyce scalaris"
302;"K";"Lecania naegelii"
302;"K";"Lecanora argentata"
302;"K";"Lecanora chlarotera"
302;"K";"Lecanora conizaeoides"
302;"K";"Lecanora strobilina aggr."
302;"K";"Lecidella elaeochroma aggr."
302;"K";"Lepraria elobata"
302;"K";"Lepraria finkii"
302;"K";"Lepraria incana"
302;"K";"Lepraria jackii"
302;"K";"Lepraria rigidula"
302;"K";"Micarea prasina aggr."
302;"K";"Opegrapha vulgata aggr."
302;"K";"Phaeophyscia endophoenicea"
302;"K";"Phlyctis argena"
302;"K";"Physcia tenella"
302;"K";"Porina leptalea"
302;"K";"Pseudosagedia aenea"
302;"K";"Violella fucata"
1024;"A";"Amandinea punctata"
1024;"A";"Candelariella xanthostigma"
1024;"A";"Lepraria incana"
1024;"A";"Physcia tenella"
1028;"A";"Coenogonium pineti"
1028;"A";"Lepraria eburnea"
1028;"A";"Lepraria finkii"
1028;"A";"Lepraria incana"
1028;"A";"Lepraria jackii"
1028;"A";"Micarea prasina aggr."
2102;"A";"Hyperphyscia adglutinata"
2102;"A";"Lecania cyrtella"
2102;"A";"Lecanora pulicaris"
2766;"A";"Alyxoria varia aggr."
2766;"A";"Arthonia didyma"
2766;"A";"Bactrospora dryina"
2766;"A";"Buellia disciformis"
2766;"A";"Candelariella xanthostigma"
2766;"A";"Chrysothrix candelaris"
2766;"A";"Coenogonium pineti"
2766;"A";"Graphis scripta"
2766;"A";"Lecanora albella"
2766;"A";"Lecidella elaeochroma aggr."
2766;"A";"Lepraria eburnea"
2766;"A";"Lepraria incana"
2766;"A";"Melanelixia glabratula aggr."
2766;"A";"Micarea prasina aggr."
2766;"A";"Opegrapha vermicellifera"
2766;"A";"Opegrapha vulgata aggr."
2766;"A";"Phlyctis argena"
2766;"A";"Porina leptalea"
3758;"A";"Biatora efflorescens"
3758;"A";"Candelariella reflexa"
3758;"A";"Hypogymnia physodes"
3758;"A";"Lecania cyrtella"
3758;"A";"Lecania naegelii"
3758;"A";"Lecanora symmicta aggr."
3758;"A";"Lepraria rigidula"
3758;"A";"Melanelixia glabratula aggr."
3758;"A";"Myriolecis persimilis"
3758;"A";"Parmelia sulcata"
3758;"A";"Phaeophyscia endophoenicea"
3758;"A";"Phlyctis argena"
3758;"A";"Physcia adscendens"
3758;"A";"Physcia tenella"
3758;"A";"Punctelia subrudecta aggr."
3758;"A";"Xanthoria parietina"
3758;"K";"Bacidina neosquamulosa"
3758;"K";"Buellia griseovirens"
3758;"K";"Candelariella reflexa"
3758;"K";"Catillaria nigroclavata"
3758;"K";"Flavoparmelia caperata"
3758;"K";"Halecania viridescens"
3758;"K";"Hypogymnia physodes"
3758;"K";"Lecania cyrtella"
3758;"K";"Lecania naegelii"
3758;"K";"Lecanora barkmaniana"
3758;"K";"Lecanora hagenii aggr."
3758;"K";"Lecanora pulicaris"
3758;"K";"Lecanora strobilina aggr."
3758;"K";"Lecanora symmicta aggr."
3758;"K";"Lecidella elaeochroma aggr."
3758;"K";"Lecidella flavosorediata"
3758;"K";"Lepraria rigidula"
3758;"K";"Lepraria vouauxii"
3758;"K";"Melanelixia subaurifera"
3758;"K";"Melanohalea exasperatula"
3758;"K";"Myriolecis persimilis"
3758;"K";"Parmelia sulcata"
3758;"K";"Phaeophyscia endophoenicea"
3758;"K";"Phlyctis argena"
3758;"K";"Physcia adscendens"
3758;"K";"Physcia stellaris"
3758;"K";"Physcia tenella"
3758;"K";"Polycauliona candelaria"
3758;"K";"Polycauliona polycarpa"
3758;"K";"Punctelia subrudecta aggr."
3758;"K";"Scoliciosporum chlorococcum"
3758;"K";"Xanthoria parietina"
3876;"A";"Anisomeridium polypori"
3876;"A";"Arthonia radiata"
3876;"A";"Arthonia ruana"
3876;"A";"Bacidia rubella"
3876;"A";"Bacidia subincompta aggr."
3876;"A";"Bacidina arnoldiana aggr."
3876;"A";"Graphis scripta"
3876;"A";"Lecidella albida"
3876;"A";"Lecidella elaeochroma aggr."
3876;"A";"Lepraria finkii"
3876;"A";"Lepraria rigidula"
3876;"A";"Micarea prasina aggr."
3876;"A";"Phlyctis argena"
3876;"A";"Pseudosagedia aenea"
4249;"A";"Agonimia allobata/repleta"
4249;"A";"Anisomeridium polypori"
4249;"A";"Arthonia atra"
4249;"A";"Arthonia spadicea"
4249;"A";"Bacidina arnoldiana aggr."
4249;"A";"Chaenotheca brachypoda"
4249;"A";"Coniocarpon cinnabarinum aggr."
4249;"A";"Graphis scripta"
4249;"A";"Lecidella albida"
4249;"A";"Lecidella elaeochroma aggr."
4249;"A";"Lepra albescens"
4249;"A";"Lepraria finkii"
4249;"A";"Mycobilimbia epixanthoides/Lecania croatica"
4249;"A";"Normandina pulchella"
4249;"A";"Parmelia sulcata"
4249;"A";"Phlyctis argena"
4249;"A";"Physcia adscendens"
4249;"A";"Punctelia subrudecta aggr."
4249;"A";"Xanthoria parietina"
5597;"A";"Arthonia didyma"
5597;"A";"Cladonia coniocraea aggr."
5597;"A";"Graphis scripta"
5597;"A";"Hypogymnia physodes"
5597;"A";"Jamesiella anastomosans"
5597;"A";"Lecanora strobilina aggr."
5597;"A";"Lepraria finkii"
5597;"A";"Lepraria jackii"
5597;"A";"Melanelixia glabratula aggr."
5597;"A";"Micarea prasina aggr."
5597;"A";"Porina leptalea"
5597;"A";"Pseudosagedia aenea"
5625;"A";"Arthonia radiata"
5625;"A";"Arthonia spadicea"
5625;"A";"Biatora chrysantha"
5625;"A";"Cladonia coniocraea aggr."
5625;"A";"Cladonia digitata"
5625;"A";"Cladonia squamosa"
5625;"A";"Coenogonium pineti"
5625;"A";"Hypogymnia physodes"
5625;"A";"Jamesiella anastomosans"
5625;"A";"Lepraria incana"
5625;"A";"Lepraria jackii"
5625;"A";"Lepraria rigidula"
5625;"A";"Lepraria vouauxii"
5625;"A";"Micarea prasina aggr."
5625;"A";"Phlyctis argena"
5625;"A";"Placynthiella dasaea"
5625;"A";"Pseudosagedia aenea"
5625;"A";"Reichlingia leopoldii"
5625;"K";"Anisomeridium polypori"
5625;"K";"Arthonia spadicea"
5625;"K";"Biatora chrysantha"
5625;"K";"Buellia griseovirens"
5625;"K";"Chaenotheca furfuracea"
5625;"K";"Chaenotheca stemonea"
5625;"K";"Chaenotheca trichialis"
5625;"K";"Cladonia coniocraea aggr."
5625;"K";"Cladonia digitata"
5625;"K";"Coenogonium pineti"
5625;"K";"Hypogymnia physodes"
5625;"K";"Jamesiella anastomosans"
5625;"K";"Lecanora pulicaris"
5625;"K";"Lepraria eburnea"
5625;"K";"Lepraria elobata"
5625;"K";"Lepraria finkii"
5625;"K";"Lepraria incana"
5625;"K";"Lepraria jackii"
5625;"K";"Lepraria rigidula"
5625;"K";"Lepraria vouauxii"
5625;"K";"Melanelixia glabratula aggr."
5625;"K";"Micarea prasina aggr."
5625;"K";"Opegrapha vulgata aggr."
5625;"K";"Parmelia sulcata"
5625;"K";"Phlyctis argena"
5625;"K";"Placynthiella dasaea"
5625;"K";"Porina leptalea"
5625;"K";"Pseudosagedia aenea"
5625;"K";"Reichlingia leopoldii"
5625;"K";"Violella fucata"
5693;"A";"Arthonia spadicea"
5693;"A";"Bacidina arnoldiana aggr."
5693;"A";"Chaenotheca ferruginea"
5693;"A";"Coenogonium pineti"
5693;"A";"Graphis scripta"
5693;"A";"Lecanora strobilina aggr."
5693;"A";"Lepraria eburnea"
5693;"A";"Lepraria finkii"
5693;"A";"Lepraria incana"
5693;"A";"Melanelixia glabratula aggr."
5693;"A";"Micarea prasina aggr."
5693;"A";"Phlyctis argena"
5693;"A";"Porina leptalea"
5693;"A";"Pseudosagedia aenea"
6168;"A";"Buellia griseovirens"
6168;"A";"Candelariella reflexa"
6168;"A";"Candelariella xanthostigma"
6168;"A";"Hypogymnia physodes"
6168;"A";"Hypogymnia tubulosa"
6168;"A";"Lecanora carpinea"
6168;"A";"Lecidella elaeochroma aggr."
6168;"A";"Lepraria vouauxii"
6168;"A";"Melanelixia glabratula aggr."
6168;"A";"Melanohalea exasperatula"
6168;"A";"Micarea prasina aggr."
6168;"A";"Parmelia sulcata"
6168;"A";"Parmelina tiliacea"
6168;"A";"Phaeophyscia orbicularis"
6168;"A";"Phlyctis argena"
6168;"A";"Physcia tenella"
6168;"A";"Punctelia subrudecta aggr."
6168;"A";"Xanthomendoza fallax aggr."
6168;"A";"Xanthoria parietina"
6252;"A";"Coenogonium pineti"
6252;"A";"Lecanora conizaeoides"
6252;"A";"Lecanora strobilina aggr."
6252;"A";"Lepraria finkii"
6252;"A";"Micarea prasina aggr."
6252;"A";"Scoliciosporum gallurae"
6739;"A";"Anisomeridium polypori"
6739;"A";"Arthonia radiata"
6739;"A";"Buellia griseovirens"
6739;"A";"Chaenotheca ferruginea"
6739;"A";"Coenogonium pineti"
6739;"A";"Graphis scripta"
6739;"A";"Hypogymnia tubulosa"
6739;"A";"Lecanora conizaeoides"
6739;"A";"Lecanora expallens"
6739;"A";"Lecanora strobilina aggr."
6739;"A";"Lepraria eburnea"
6739;"A";"Lepraria finkii"
6739;"A";"Lepraria incana"
6739;"A";"Melanelixia glabratula aggr."
6739;"A";"Opegrapha vermicellifera"
6739;"A";"Parmelia saxatilis aggr."
6739;"A";"Parmelia sulcata"
6739;"A";"Phlyctis argena"
6739;"A";"Porina leptalea"
6739;"A";"Pseudevernia furfuracea"
6739;"A";"Pseudosagedia aenea"
7910;"A";"Amandinea punctata"
7910;"A";"Anisomeridium polypori"
7910;"A";"Graphis scripta"
7910;"A";"Lepraria finkii"
7910;"A";"Lepraria incana"
7910;"A";"Micarea prasina aggr."
7910;"A";"Scoliciosporum chlorococcum"
8084;"A";"Candelariella xanthostigma"
8084;"A";"Lecania cyrtella"
8084;"A";"Lepraria finkii"
8084;"A";"Phaeophyscia orbicularis"
8084;"A";"Physcia adscendens"
8084;"A";"Physcia tenella"
8084;"A";"Xanthoria parietina"
8146;"A";"Anisomeridium polypori"
8146;"A";"Arthonia spadicea"
8146;"A";"Buellia griseovirens"
8146;"A";"Candelariella reflexa"
8146;"A";"Graphis scripta"
8146;"A";"Lecanora strobilina aggr."
8146;"A";"Lecanora strobilina aggr."
8146;"A";"Lepraria eburnea"
8146;"A";"Lepraria finkii"
8146;"A";"Melanelixia glabratula aggr."
8146;"A";"Normandina pulchella"
8146;"A";"Phlyctis argena"
8146;"A";"Porina leptalea"
8154;"A";"Anisomeridium polypori"
8154;"A";"Arthonia didyma"
8154;"A";"Arthonia radiata"
8154;"A";"Candelariella reflexa"
8154;"A";"Coenogonium pineti"
8154;"A";"Graphis scripta"
8154;"A";"Lecanora argentata"
8154;"A";"Lecanora strobilina aggr."
8154;"A";"Lecidella albida"
8154;"A";"Lepraria eburnea"
8154;"A";"Lepraria finkii"
8154;"A";"Micarea prasina aggr."
8154;"A";"Normandina acroglypta"
8154;"A";"Normandina pulchella"
8154;"A";"Phlyctis argena"
8154;"A";"Pseudoschismatomma rufescens"
8154;"K";"Agonimia allobata/repleta"
8154;"K";"Anisomeridium polypori"
8154;"K";"Arthonia atra"
8154;"K";"Arthonia didyma"
8154;"K";"Arthonia radiata"
8154;"K";"Arthonia ruana"
8154;"K";"Arthonia spadicea"
8154;"K";"Bacidia arceutina"
8154;"K";"Bacidia laurocerasi"
8154;"K";"Bacidina arnoldiana aggr."
8154;"K";"Bacidina delicata"
8154;"K";"Buellia griseovirens"
8154;"K";"Candelariella reflexa"
8154;"K";"Coenogonium pineti"
8154;"K";"Graphis scripta"
8154;"K";"Lecanora argentata"
8154;"K";"Lecanora argentata"
8154;"K";"Lecanora strobilina aggr."
8154;"K";"Lecidella albida"
8154;"K";"Lecidella elaeochroma aggr."
8154;"K";"Lepraria eburnea"
8154;"K";"Lepraria finkii"
8154;"K";"Micarea prasina aggr."
8154;"K";"Normandina acroglypta"
8154;"K";"Normandina pulchella"
8154;"K";"Opegrapha vulgata aggr."
8154;"K";"Phlyctis argena"
8154;"K";"Porina leptalea"
8154;"K";"Pseudosagedia aenea"
8154;"K";"Ramalina farinacea"
8552;"A";"Amandinea punctata"
8552;"A";"Bacidina neosquamulosa"
8552;"A";"Buellia griseovirens"
8552;"A";"Candelaria concolor/pacifica"
8552;"A";"Candelariella reflexa"
8552;"A";"Halecania viridescens"
8552;"A";"Hyperphyscia adglutinata"
8552;"A";"Lecania naegelii"
8552;"A";"Lecanora allophana"
8552;"A";"Lecanora argentata"
8552;"A";"Lecanora chlarotera"
8552;"A";"Lecanora symmicta aggr."
8552;"A";"Lecidella aff. leprothalla"
8552;"A";"Lecidella elaeochroma aggr."
8552;"A";"Lecidella flavosorediata"
8552;"A";"Lepraria rigidula"
8552;"A";"Melanelixia glabratula aggr."
8552;"A";"Melanohalea exasperatula"
8552;"A";"Myriolecis sambuci"
8552;"A";"Normandina pulchella"
8552;"A";"Ochrolechia turneri"
8552;"A";"Parmelia sulcata"
8552;"A";"Parmelina tiliacea"
8552;"A";"Phaeophyscia orbicularis"
8552;"A";"Phlyctis argena"
8552;"A";"Physcia adscendens"
8552;"A";"Physcia stellaris"
8552;"A";"Physcia tenella"
8552;"A";"Piccolia ochrophora"
8552;"A";"Polycauliona candelaria"
8552;"A";"Punctelia subrudecta aggr."
8552;"A";"Xanthoria parietina"
8608;"A";"Arthonia radiata"
8608;"A";"Candelariella xanthostigma"
8608;"A";"Catillaria nigroclavata"
8608;"A";"Coenogonium pineti"
8608;"A";"Evernia prunastri"
8608;"A";"Graphis scripta"
8608;"A";"Lecanora chlarotera"
8608;"A";"Lecanora strobilina aggr."
8608;"A";"Lepraria finkii"
8608;"A";"Melanelixia glabratula aggr."
8608;"A";"Phlyctis argena"
8608;"A";"Porina leptalea"
8608;"A";"Pseudosagedia aenea"
8704;"A";"Physcia tenella"
8736;"A";"Candelaria concolor/pacifica"
8736;"A";"Candelariella reflexa"
8736;"A";"Candelariella xanthostigma"
8736;"A";"Catillaria nigroclavata"
8736;"A";"Evernia prunastri"
8736;"A";"Lecanora carpinea"
8736;"A";"Lecanora chlarotera"
8736;"A";"Lecidella elaeochroma aggr."
8736;"A";"Lepra albescens"
8736;"A";"Melanelixia subargentifera"
8736;"A";"Melanohalea exasperatula"
8736;"A";"Myriolecis persimilis"
8736;"A";"Parmelina tiliacea"
8736;"A";"Phaeophyscia orbicularis"
8736;"A";"Phlyctis argena"
8736;"A";"Physcia adscendens"
8736;"A";"Physcia aipolia"
8736;"A";"Physcia tenella"
8736;"A";"Physconia distorta"
8736;"A";"Physconia grisea"
8736;"A";"Pleurosticta acetabulum"
8736;"A";"Punctelia subrudecta aggr."
8736;"A";"Xanthoria parietina"
8736;"K";"Anaptychia ciliaris"
8736;"K";"Arthonia radiata"
8736;"K";"Candelaria concolor/pacifica"
8736;"K";"Candelariella reflexa"
8736;"K";"Candelariella xanthostigma"
8736;"K";"Catillaria nigroclavata"
8736;"K";"Lecanora barkmaniana"
8736;"K";"Lecanora carpinea"
8736;"K";"Lecanora chlarotera"
8736;"K";"Lecidella elaeochroma aggr."
8736;"K";"Lecidella flavosorediata"
8736;"K";"Lepra albescens"
8736;"K";"Lepraria finkii"
8736;"K";"Melanelixia subargentifera"
8736;"K";"Melanohalea exasperatula"
8736;"K";"Parmelia sulcata"
8736;"K";"Parmelina tiliacea"
8736;"K";"Phaeophyscia orbicularis"
8736;"K";"Phlyctis argena"
8736;"K";"Physcia adscendens"
8736;"K";"Physcia aipolia"
8736;"K";"Physcia tenella"
8736;"K";"Physconia distorta"
8736;"K";"Pleurosticta acetabulum"
8736;"K";"Punctelia subrudecta aggr."
8736;"K";"Xanthoria parietina"
9931;"A";"Arthonia atra"
9931;"A";"Arthonia didyma"
9931;"A";"Arthonia radiata"
9931;"A";"Arthonia ruana"
9931;"A";"Bacidina arnoldiana aggr."
9931;"A";"Buellia griseovirens"
9931;"A";"Candelariella reflexa"
9931;"A";"Coenogonium pineti"
9931;"A";"Graphis scripta"
9931;"A";"Lecanora argentata"
9931;"A";"Lecanora chlarotera"
9931;"A";"Lecidella albida"
9931;"A";"Lepraria eburnea"
9931;"A";"Lepraria finkii"
9931;"A";"Lepraria rigidula"
9931;"A";"Melanelixia glabratula aggr."
9931;"A";"Micarea prasina aggr."
9931;"A";"Normandina pulchella"
9931;"A";"Phlyctis argena"
9931;"A";"Porina leptalea"
9931;"A";"Pseudosagedia aenea"
9931;"K";"Anisomeridium polypori"
9931;"K";"Arthonia didyma"
9931;"K";"Arthonia radiata"
9931;"K";"Arthonia ruana"
9931;"K";"Arthonia spadicea"
9931;"K";"Buellia griseovirens"
9931;"K";"Candelariella reflexa"
9931;"K";"Coenogonium pineti"
9931;"K";"Graphis scripta"
9931;"K";"Lecanora argentata"
9931;"K";"Lecanora carpinea"
9931;"K";"Lecidella albida"
9931;"K";"Lepraria eburnea"
9931;"K";"Lepraria finkii"
9931;"K";"Lepraria rigidula"
9931;"K";"Melanelixia glabratula aggr."
9931;"K";"Micarea prasina aggr."
9931;"K";"Normandina pulchella"
9931;"K";"Parmelia sulcata"
9931;"K";"Phaeophyscia endophoenicea"
9931;"K";"Phlyctis argena"
9931;"K";"Physcia tenella"
9931;"K";"Porina leptalea"
9931;"K";"Pseudosagedia aenea"
10007;"A";"Arthonia radiata"
10007;"A";"Chaenotheca ferruginea"
10007;"A";"Coenogonium pineti"
10007;"A";"Graphis scripta"
10007;"A";"Lecanora strobilina aggr."
10007;"A";"Lepraria eburnea"
10007;"A";"Lepraria finkii"
10007;"A";"Micarea prasina aggr."
10007;"A";"Porina leptalea"
10007;"A";"Pseudosagedia aenea"
10035;"A";"Arthonia radiata"
10035;"A";"Bacidia subincompta aggr."
10035;"A";"Bacidina arnoldiana aggr."
10035;"A";"Candelariella reflexa"
10035;"A";"Candelariella xanthostigma"
10035;"A";"Catillaria nigroclavata"
10035;"A";"Coenogonium pineti"
10035;"A";"Graphis scripta"
10035;"A";"Lecanora argentata"
10035;"A";"Lepraria eburnea"
10035;"A";"Lepraria elobata"
10035;"A";"Lepraria finkii"
10035;"A";"Lepraria rigidula"
10035;"A";"Melanelixia glabratula aggr."
10035;"A";"Micarea prasina aggr."
10035;"A";"Parmelia sulcata"
10035;"A";"Parmelina tiliacea"
10035;"A";"Phlyctis argena"
10035;"A";"Physcia tenella"
10582;"A";"Anisomeridium polypori"
10582;"A";"Buellia griseovirens"
10582;"A";"Chaenotheca ferruginea"
10582;"A";"Chaenotheca stemonea"
10582;"A";"Coenogonium pineti"
10582;"A";"Graphis scripta"
10582;"A";"Hypocenomyce scalaris"
10582;"A";"Lecanora argentata"
10582;"A";"Lecanora conizaeoides"
10582;"A";"Lecanora intumescens"
10582;"A";"Lecanora strobilina aggr."
10582;"A";"Lecidella albida"
10582;"A";"Lepraria elobata"
10582;"A";"Lepraria finkii"
10582;"A";"Lepraria incana"
10582;"A";"Lepraria rigidula"
10582;"A";"Melanelixia glabratula aggr."
10582;"A";"Micarea prasina aggr."
10582;"A";"Normandina pulchella"
10582;"A";"Parmelia sulcata"
10582;"A";"Phaeophyscia endophoenicea"
10582;"A";"Phlyctis argena"
10582;"A";"Placynthiella dasaea"
10582;"A";"Porina leptalea"
10582;"A";"Pseudosagedia aenea"
10582;"A";"Pyrenula nitida"
10582;"A";"Scoliciosporum gallurae"
10582;"A";"Zwackhia viridis"
10582;"K";"Buellia griseovirens"
10582;"K";"Chaenotheca ferruginea"
10582;"K";"Chaenotheca stemonea"
10582;"K";"Coenogonium pineti"
10582;"K";"Graphis scripta"
10582;"K";"Hypocenomyce scalaris"
10582;"K";"Lecanora albella"
10582;"K";"Lecanora argentata"
10582;"K";"Lecanora carpinea"
10582;"K";"Lecanora conizaeoides"
10582;"K";"Lecanora intumescens"
10582;"K";"Lecanora strobilina aggr."
10582;"K";"Lecidella albida"
10582;"K";"Lecidella elaeochroma aggr."
10582;"K";"Lepraria elobata"
10582;"K";"Lepraria finkii"
10582;"K";"Lepraria incana"
10582;"K";"Lepraria rigidula"
10582;"K";"Melanelixia glabratula aggr."
10582;"K";"Micarea prasina aggr."
10582;"K";"Parmelia sulcata"
10582;"K";"Phlyctis argena"
10582;"K";"Physcia tenella"
10582;"K";"Placynthiella dasaea"
10582;"K";"Porina leptalea"
10582;"K";"Pseudosagedia aenea"
10582;"K";"Pyrenula nitida"
10582;"K";"Scoliciosporum gallurae"
10582;"K";"Zwackhia viridis"
10680;"A";"Chaenotheca ferruginea"
10680;"A";"Coenogonium pineti"
10680;"A";"Graphis scripta"
10680;"A";"Jamesiella anastomosans"
10680;"A";"Lecanora argentata"
10680;"A";"Lecanora conizaeoides"
10680;"A";"Lecanora strobilina aggr."
10680;"A";"Lepraria incana"
10680;"A";"Lepraria rigidula"
10680;"A";"Melanelixia glabratula aggr."
10680;"A";"Micarea prasina aggr."
10680;"A";"Parmelia sulcata"
10680;"A";"Phlyctis argena"
10680;"A";"Placynthiella dasaea"
10680;"A";"Scoliciosporum gallurae"
10708;"A";"Anisomeridium polypori"
10708;"A";"Arthonia radiata"
10708;"A";"Arthonia ruana"
10708;"A";"Bacidia arceutina"
10708;"A";"Bacidina arnoldiana aggr."
10708;"A";"Biatora efflorescens"
10708;"A";"Buellia griseovirens"
10708;"A";"Candelariella reflexa"
10708;"A";"Cladonia coniocraea aggr."
10708;"A";"Coenogonium pineti"
10708;"A";"Fellhanera bouteillei"
10708;"A";"Graphis scripta"
10708;"A";"Lecanora chlarotera"
10708;"A";"Lecanora pulicaris"
10708;"A";"Lecanora strobilina aggr."
10708;"A";"Lecanora symmicta aggr."
10708;"A";"Lepraria finkii"
10708;"A";"Lepraria rigidula"
10708;"A";"Melanelixia glabratula aggr."
10708;"A";"Micarea prasina aggr."
10708;"A";"Parmelia sulcata"
10708;"A";"Phlyctis argena"
10708;"A";"Physcia tenella"
10708;"A";"Pseudosagedia aenea"
10708;"A";"Scoliciosporum sarothamni"
11234;"A";"Amandinea punctata"
11234;"A";"Caloplaca sp.1"
11234;"A";"Candelariella reflexa"
11234;"A";"Candelariella xanthostigma"
11234;"A";"Evernia prunastri"
11234;"A";"Lecanora carpinea"
11234;"A";"Lecanora hagenii aggr."
11234;"A";"Lecanora pulicaris"
11234;"A";"Lecidella elaeochroma aggr."
11234;"A";"Lecidella flavosorediata"
11234;"A";"Lepraria rigidula"
11234;"A";"Melanelixia glabratula aggr."
11234;"A";"Melanohalea elegantula"
11234;"A";"Melanohalea exasperatula"
11234;"A";"Parmelia sulcata"
11234;"A";"Parmelina tiliacea"
11234;"A";"Phaeophyscia endophoenicea"
11234;"A";"Phlyctis argena"
11234;"A";"Physcia tenella"
11234;"A";"Pleurosticta acetabulum"
11234;"A";"Punctelia subrudecta aggr."
11234;"A";"Usnea hirta"
11234;"A";"Usnea perplexans"
11234;"A";"Xanthoria parietina"
11234;"K";"Amandinea punctata"
11234;"K";"Biatora globulosa"
11234;"K";"Buellia griseovirens"
11234;"K";"Caloplaca chlorina"
11234;"K";"Caloplaca sp.1"
11234;"K";"Candelariella reflexa"
11234;"K";"Candelariella xanthostigma"
11234;"K";"Catillaria nigroclavata"
11234;"K";"Lecania naegelii"
11234;"K";"Lecanora carpinea"
11234;"K";"Lecanora chlarotera"
11234;"K";"Lecanora chlarotera"
11234;"K";"Lecanora hagenii aggr."
11234;"K";"Lecanora pulicaris"
11234;"K";"Lecanora saligna"
11234;"K";"Lecidella albida"
11234;"K";"Lecidella elaeochroma aggr."
11234;"K";"Lecidella flavosorediata"
11234;"K";"Lepra albescens"
